[20200925,4970]
[20200924,5192]
[20200923,5553]
[20200922,6166]
[20200921,6078]
[20200918,6065]
[20200917,6215]
[20200916,6240]
[20200915,6172]
[20200914,6154]
[20200911,6338]
[20200910,6147]
[20200909,6151]
[20200908,6175]
[20200907,6138]
[20200904,6236]
[20200903,6510]
[20200902,6652]
[20200901,6505]
[20200831,6381]
[20200828,6282]
[20200827,6088]
[20200826,6037]
[20200825,6139]
[20200824,6032]
[20200821,6284]
[20200820,6484]
[20200819,6794]
[20200818,6463]
[20200817,6336]
[20200814,6392]
[20200813,6161]
[20200812,6605]
[20200811,7163]
[20200810,6993]
[20200807,6956]
[20200806,6650]
[20200805,6284]
[20200804,5936]
[20200803,5941]
[20200731,5758]
[20200730,6090]
[20200729,5822]
[20200728,6129]
[20200727,6180]
[20200724,5540]
[20200723,5594]
[20200722,5261]
[20200721,4922]
[20200720,4739]
[20200717,4782]
[20200716,4806]
[20200715,4777]
[20200714,4770]
[20200713,4675]
[20200710,4727]
[20200709,4638]
[20200708,4545]
[20200707,4595]
[20200706,4550]
[20200703,4508]
[20200702,4612]
[20200701,4521]
[20200630,4494]
[20200629,4542]
[20200624,4524]
[20200623,4560]
[20200622,4489]
[20200619,4420]
[20200618,4435]
[20200617,4407]
[20200616,4318]
[20200615,4489]
[20200612,4560]
[20200611,4572]
[20200610,4491]
[20200609,4488]
[20200608,4415]
[20200605,4535]
[20200604,4512]
[20200603,4690]
[20200602,4672]
[20200601,4576]
[20200530,4547]
[20200529,4293]
[20200528,4194]
[20200527,4300]
[20200526,4200]
[20200525,4211]
[20200522,4265]
[20200521,4330]
[20200520,4231]
[20200519,4226]
[20200518,4158]
[20200515,3948]
[20200514,3835]
[20200513,3837]
[20200512,3814]
[20200511,3833]
[20200508,3817]
[20200507,3691]
[20200506,3724]
[20200430,3633]
[20200429,3610]
[20200428,3579]
[20200427,3656]
[20200424,3655]
[20200423,3648]
[20200422,3532]
[20200421,3661]
[20200420,3203]
[20200417,3665]
[20200416,3607]
[20200415,3691]
[20200414,3614]
[20200413,3669]
[20200410,3716]
[20200409,3729]
[20200408,3686]
[20200407,3810]
[20200403,3560]
[20200402,3391]
[20200401,3445]
[20200331,3417]
[20200330,3482]
[20200327,3549]
[20200326,3567]
[20200325,3545]
[20200324,3350]
[20200323,3120]
[20200320,2923]
[20200319,2938]
[20200318,3022]
[20200317,3239]
[20200316,3607]
[20200313,3812]
[20200312,4070]
