[20180403,51474]
[20180402,51423]
[20180330,51037]
[20180329,50415]
[20180328,50716]
[20180327,50670]
[20180326,51200]
[20180323,52356]
[20180322,52211]
[20180321,52566]
[20180320,52610]
[20180319,53271]
[20180316,53496]
[20180315,53450]
[20180314,52981]
[20180313,53140]
[20180312,52929]
[20180309,53121]
[20180308,53671]
[20180307,53778]
[20180306,53603]
[20180305,53715]
[20180302,53923]
[20180301,53979]
[20180228,54787]
[20180227,55026]
[20180226,55162]
[20180223,54654]
[20180222,54206]
[20180214,53760]
[20180213,53379]
[20180212,52988]
[20180209,53480]
[20180208,54275]
[20180207,54367]
[20180206,55009]
[20180205,55150]
[20180202,54967]
[20180201,54853]
[20180131,54604]
[20180130,55219]
[20180129,55186]
[20180126,55493]
[20180125,54991]
[20180124,55362]
[20180123,55562]
[20180122,55331]
[20180119,55295]
[20180118,55180]
[20180117,55924]
[20180116,56666]
[20180115,56771]
[20180112,56772]
[20180111,56448]
[20180110,56648]
[20180109,56488]
[20180108,56657]
[20180105,57016]
[20180104,56824]
[20180103,57056]
[20180102,57289]
[20171229,57608]
[20171228,57097]
[20171227,57069]
[20171226,56720]
[20171225,56720]
[20171222,56010]
[20171221,55806]
[20171220,55247]
[20171219,55327]
[20171218,55174]
[20171215,54097]
[20171214,54058]
[20171213,53797]
[20171212,53323]
[20171211,53391]
[20171208,53049]
[20171207,53208]
[20171206,54336]
[20171205,55373]
[20171204,55141]
[20171201,54631]
[20171130,54941]
[20171129,55222]
[20171128,55579]
[20171127,56166]
[20171124,55914]
[20171123,56004]
[20171122,55527]
[20171121,54995]
[20171120,54969]
[20171117,54576]
[20171116,54628]
[20171115,55824]
[20171114,56018]
[20171113,55378]
[20171110,55199]
[20171109,55196]
[20171108,56421]
[20171107,56643]
[20171106,56247]
[20171103,56409]
[20171102,56383]
[20171101,56442]
[20171031,55656]
[20171030,55896]
[20171027,56703]
[20171026,56528]
[20171025,57465]
[20171024,56946]
[20171023,57042]
[20171020,57082]
[20171019,56945]
[20171018,57066]
[20171017,57327]
[20171016,56304]
[20171013,55147]
[20171012,54791]
[20171011,53985]
[20171010,54051]
[20171009,54074]
[20170929,53266]
[20170928,52603]
[20170927,52732]
[20170926,52627]
[20170925,51999]
[20170922,52187]
[20170921,52888]
[20170920,52832]
[20170919,52758]
[20170918,52590]
[20170915,52421]
[20170914,53079]
[20170913,53977]
[20170912,53619]
[20170911,53837]
[20170908,54931]
[20170907,55502]
[20170906,55939]
[20170905,55784]
[20170904,55568]
[20170901,55139]
[20170831,55077]
[20170830,54946]
[20170829,55214]
[20170828,55012]
[20170825,54664]
[20170824,54098]
[20170823,54463]
[20170822,54061]
[20170821,53634]
[20170818,53690]
[20170817,52960]
[20170816,52519]
[20170815,52228]
[20170814,52138]
[20170811,53003]
[20170810,53515]
[20170809,53182]
[20170808,52956]
[20170807,52872]
[20170804,52183]
[20170803,52409]
[20170802,52493]
[20170801,53063]
[20170731,52634]
[20170728,52322]
[20170727,52612]
[20170726,51723]
[20170725,50410]
[20170724,50248]
[20170721,50041]
[20170720,50202]
[20170719,50050]
[20170718,50059]
[20170717,49780]
[20170714,49620]
[20170713,49487]
[20170712,49515]
[20170711,49175]
[20170710,49348]
[20170707,49263]
[20170706,49363]
[20170705,49312]
[20170704,49843]
[20170703,49825]
[20170630,49838]
[20170629,49539]
[20170628,49114]
[20170627,49129]
[20170626,49009]
[20170623,48335]
[20170622,47850]
[20170621,48094]
[20170620,47966]
[20170619,47718]
[20170616,47867]
[20170615,48211]
[20170614,48185]
[20170613,48646]
[20170612,48286]
[20170609,47629]
[20170608,47133]
[20170607,47264]
[20170606,47501]
[20170605,47847]
[20170602,47621]
[20170601,47516]
[20170531,48291]
[20170526,48447]
[20170525,48082]
[20170524,48044]
[20170523,48095]
[20170522,47734]
[20170519,47566]
[20170518,47683]
[20170517,47545]
[20170516,47705]
[20170515,47317]
[20170512,47529]
[20170511,47156]
[20170510,47066]
[20170509,46926]
[20170508,47395]
[20170505,47510]
[20170504,48901]
[20170503,49138]
[20170502,48639]
[20170428,48577]
[20170427,48507]
[20170426,48271]
[20170425,48263]
[20170424,48285]
[20170421,47774]
[20170420,48023]
[20170419,48081]
[20170418,48727]
[20170417,49161]
[20170414,48807]
[20170413,48459]
[20170412,48920]
[20170411,49520]
[20170410,49954]
[20170407,50250]
[20170406,49965]
[20170405,50537]
[20170331,50361]
[20170330,50042]
[20170329,49619]
[20170328,49099]
[20170327,49520]
[20170324,49601]
[20170323,49408]
[20170322,49768]
[20170321,50468]
[20170320,50337]
[20170317,50711]
[20170316,50206]
[20170315,50090]
[20170314,50078]
[20170313,49434]
[20170310,49227]
[20170309,49785]
[20170308,50409]
[20170307,50610]
[20170306,51028]
[20170303,51457]
[20170302,51360]
[20170301,50850]
[20170228,50388]
[20170227,50642]
[20170224,51122]
[20170223,51449]
[20170222,51639]
[20170221,51514]
[20170220,51145]
[20170217,51359]
[20170216,51699]
[20170215,52865]
[20170214,52899]
[20170213,52035]
[20170210,50375]
[20170209,50602]
[20170208,50207]
[20170207,49625]
[20170206,49675]
[20170203,51032]
[20170126,50947]
[20170125,50029]
[20170124,49796]
[20170123,49450]
[20170120,49606]
[20170119,49518]
[20170118,49639]
[20170117,50868]
[20170116,50773]
[20170113,50101]
[20170112,50055]
[20170111,49404]
[20170110,48885]
[20170109,48310]
[20170106,48596]
[20170105,48687]
[20170104,48590]
[20170103,48584]
[20161230,48638]
[20161229,48558]
[20161228,48180]
[20161227,47207]
[20161226,47920]
[20161223,47605]
[20161222,48200]
[20161221,47773]
[20161220,48557]
[20161219,49365]
[20161216,49997]
[20161215,49350]
[20161214,49919]
[20161213,50168]
[20161212,50572]
[20161209,50063]
[20161208,51343]
[20161207,51118]
[20161206,50764]
[20161205,50171]
[20161202,49954]
[20161201,49864]
[20161130,49919]
[20161129,52957]
[20161128,52475]
[20161125,52078]
[20161124,50707]
[20161123,49513]
[20161122,49036]
[20161121,47938]
[20161118,47180]
[20161117,47799]
[20161116,47372]
[20161115,48654]
[20161114,49802]
[20161111,48120]
[20161110,45516]
[20161109,44263]
[20161108,43281]
[20161107,41965]
[20161104,41815]
[20161103,41495]
[20161102,41587]
[20161101,41396]
[20161031,41131]
[20161028,40685]
[20161027,40562]
[20161026,40774]
[20161025,40406]
[20161024,40049]
[20161021,40070]
[20161020,39920]
[20161019,40156]
[20161018,40110]
[20161017,40152]
[20161014,40461]
[20161013,40750]
[20161012,40986]
[20161011,40716]
[20161010,40548]
[20160930,40525]
[20160929,40421]
[20160928,40495]
[20160927,40588]
[20160926,40705]
[20160923,40484]
[20160922,40215]
[20160921,40089]
[20160920,40014]
[20160919,39470]
[20160914,39334]
[20160913,38973]
[20160912,39345]
[20160909,39313]
[20160908,39491]
[20160907,39326]
[20160906,39243]
[20160905,39410]
[20160902,39326]
[20160901,39125]
[20160831,38990]
[20160830,39184]
[20160829,39219]
[20160826,39150]
[20160825,39400]
[20160824,39918]
[20160823,39977]
[20160822,40225]
[20160819,40196]
[20160818,40047]
[20160817,40030]
[20160816,39880]
[20160815,40394]
[20160812,40360]
[20160811,40304]
[20160810,40030]
[20160809,40321]
[20160808,40419]
[20160805,40546]
[20160804,40587]
[20160803,40842]
[20160802,41168]
[20160801,40677]
[20160729,40760]
[20160728,40661]
[20160727,40782]
[20160726,41132]
[20160725,41095]
[20160722,41641]
[20160721,41546]
[20160720,41282]
[20160719,41172]
[20160718,41437]
[20160715,41646]
[20160714,41545]
[20160713,40988]
[20160712,39897]
[20160711,39474]
[20160708,39755]
[20160707,40393]
[20160706,40718]
[20160705,41392]
[20160704,40877]
[20160701,40470]
[20160630,40279]
[20160629,40186]
[20160628,40058]
[20160627,39176]
[20160624,39161]
[20160623,39177]
[20160622,38749]
[20160621,38382]
[20160620,38491]
[20160617,38443]
[20160616,38139]
[20160615,38014]
[20160614,38234]
[20160613,38425]
[20160608,38727]
[20160607,39175]
[20160606,38597]
[20160603,38386]
